Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
399;Big brown;Camden Hells;;UK;lager;4.6;660;22/10/2019
402;Big brown;Camden Hells;;UK;lager;4.6;330;06/11/2019
;Big brown;Tiger;1932;UK;lager;5;660;
;Big brown;Worcester Sorcerer;;UK;bitter;4.3;500;
;Big brown;Trooper;;UK;beer;4.7;500;03/03/2014
;Big brown;Trooper;;UK;beer;4.7;500;
213;Big brown;Trooper Hallowed;;UK;British Belgian;6;330;06/08/2018
404;Big brown;Trooper 666;;UK;beer;6.6;330;15/11/2019
405;Big brown;Trooper Sun and Steel;;UK;sake lager;4.8;330;15/11/2019
406;Big brown;Trooper Light Brigade;;UK;golden;4.1;330;15/11/2019
407;Big brown;Trooper Red 'n' Black;;UK;porter;6.8;330;24/11/2019
456;Big brown;Trooper;;UK;beer;4.7;330;01/02/2020
954;Big brown;Trooper The Number of the Beast;;UK;beer;4.7;330;29/10/2022
413;Big brown;Black Sheep;1992;UK;amber ale;4.4;500;06/12/2019
414;Big brown;Heritage;1799;UK;vintage ale;6.5;500;06/12/2019
411;Big brown;Butty Bach;1985;UK;ale;4.5;500;04/12/2019
418;Big brown;St. Peter's Best Bitter;;UK;bitter ale;4.1;500;10/12/2019
419;Big brown;St. Peter's Gatekeeper;;UK;golden ale;4.7;500;10/12/2019
476;Big brown;St. Peter's Ruby Red;;UK;ruby ale;4.3;500;08/03/2020
477;Big brown;St. Peter's Best Bitter;;UK;bitter ale;3.7;500;08/03/2020
480;Big brown;St. Peter's English Pale Ale;;UK;EPA;3.8;500;11/03/2020
289;Big brown;St. Peter's Suffolk Gold;;UK;golden ale;4.9;500;19/02/2019
964;Big brown;St. Peter's Whisky Beer;;UK;whisky beer;4.8;500;07/11/2022
561;Big brown;Vocation Bigger Boat;2015;UK;hazy pale ale;4;330;07/11/2020
438;Big brown;Fuller's 1845;1845;UK;ale;6.3;500;02/01/2020
444;Big brown;Bengal Lancer;1845;UK;IPA;5;500;16/01/2020
448;Big brown;ESB;1845;UK;ale;5.9;500;19/01/2020
451;Big brown;Ram Rod;;UK;ale;5;275;15/01/2020
228;Big brown;Razorback;;UK;amber ale;3.6;500;04/09/2018
;Big brown;Forty Niner;;UK;golden;4.9;500;
453;Big brown;Old Thumper;;UK;ale;5.1;500;26/01/2020
;Big brown;Medusa;;UK;amber;5;500;
442;Big brown;Hog's Back RIP Snorter;;UK;amber ale;5;500;12/01/2020
462;Big brown;Hog's Back Gardener's Tipple;;UK;beer;4;500;13/02/2020
472;Big brown;Hog's Back T.E.A.;;UK;ale;4.2;500;24/02/2020
396;Big brown;St. Mungo;;UK;;4.9;500;18/10/2019
484;Big brown;Wiper and True;;UK;pale ale;4;330;17/04/2020
485;Big brown;Cross Borders;;UK;session IPA;4.2;330;18/04/2020
486;Big brown;Braybrooke;;UK;keller lager;4.8;330;19/04/2020
487;Big brown;Canopy;;UK;saison;5.5;330;22/04/2020
488;Big brown;Arbor C Bomb;;UK;citra pale ale;4.7;568;01/05/2020
489;Big brown;Gloucester Gold;2011;UK;golden;3.9;440;05/05/2020
490;Big brown;Moonstrips;;UK;smoky wheat;5;330;08/05/2020
491;Big brown;Repeater;;UK;session IPA;4.2;330;16/05/2020
479;Big brown;Korev;1851;UK;lager;4.8;500;10/03/2020
492;Big brown;Lost Pier;;UK;session pale ale;3.4;330;20/05/2020
493;Big brown;Brew by Numbers 11;;UK;session IPA;4.2;330;21/05/2020
553;Big brown;Brew by Numbers 23;;UK;keller pilsner;5;330;20/10/2020
505;Big brown;Skull Splitter;1988;UK;ale;8.5;330;17/06/2020
506;Big brown;Red MacGregor;1988;UK;ruby ale;4;500;21/06/2020
507;Big brown;Dark Island;1988;UK;dark ale;4.6;500;22/06/2020
;Big brown;Dragonhead;1988;UK;stout;4;500;
508;Big brown;Puffin Ale;1988;UK;ale;4.5;500;23/06/2020
509;Big brown;Raven Ale;1988;UK;golden ale;3.8;500;29/06/2020
510;Big brown;Clootie Dumpling;1988;UK;tawny ale;4.3;500;01/07/2020
511;Big brown;Cliff Edge;1988;UK;IPA;4.7;500;04/07/2020
512;Big brown;Northern Light;1988;UK;pale ale;4;500;11/07/2020
513;Big brown;Orkney Gold;1988;UK;golden ale;4.5;500;11/07/2020
515;Big brown;Corncrake Ale;1988;UK;straw ale;4.1;500;16/07/2020
;Big brown;Combined Harvest;1874;UK;multigrain beer;4.7;500;
516;Big brown;Jubel Alpine;2017;UK;peach beer;4;330;19/07/2020
519;Big brown;Jubel Urban;2017;UK;elderflower beer;4;330;26/07/2020
518;Big brown;Gypsy Hill Desert Haze;;UK;hazy pale ale;4;330;24/07/2020
521;Big brown;Gypsy Hill Ranger;;UK;pale ale;4.2;330;04/08/2020
520;Big brown;Lost+Found Hold it Down;;UK;session IPA;4.2;330;31/07/2020
