Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
,Big brown,Butcombe,1978,UK,bitter,4.5,27/03/2014,"In the last Math lecture w/ Prof. Jones, he wore a Romanian flag like a brooch",,,,
,Big brown,Bira London,,UK,beer,4,18/06/2017,1 & ½ years,,,,
,Big brown,Hop House 13,,UK,lager,4.1,,,,,,
,Big brown,Double Hop Monster,,UK,IPA,7.2,07/12/2017,First data from SOLiD,,,,
,Big brown,By the Horns,,UK,lager,4.5,,Not hitting on a married woman,,,,
763,Big brown,Abbot Reserve,1799,UK,,6.5,11/01/2022,Back in London,,,,
,Big brown,Abbot Ale,1799,UK,ale,5,,,,,,
,Big brown,Twisted Wheel,,UK,,4,,First trip to Morrison’s,,,,
,Big brown,Foundry Torpedo,,UK,bitter,4.5,,Visiting Doru in Canterbury,,,,
227,Big brown,Pheasant Plucker,,UK,amber ale,4.5,,,,,,
235,Big brown,Moorhouse's White Witch,,UK,blonde ale,3.9,13/09/2018,Formal dinner at the summer school (yes I did smuggle this in),,,,
256,Big brown,Freedom Four,1995,UK,lager,4,27/11/2018,Catching up with Edna over steak,,,,
259,Big brown,Holy Grail,,UK,golden ale,4.7,07/12/2018,Unblinded RK,,,,
,Big brown,Brewdog 5am Saint,,UK,amber,5,,,,,,
,Big brown,Brewdog Dead Pony Club,,UK,pale ale,3.8,12/12/2017,Curly fries with Ed next door to TLJ premiere,,,,
255,Big brown,Brewdog Mr. President,,UK,double IPA,9.2,24/11/2018,Alina house party,,,,
409,Big brown,Brewdog Vagabond,,UK,American pale ale,4.5,27/11/2019,Imperial days drinks at h-bar,,,,
455,Big brown,Brewdog Lost Lager,,UK,lager,4.7,31/01/2020,Brexit Day,,,,
497,Big brown,Brewdog Dead Pony Club,,UK,pale ale,3.8,25/05/2020,Bank holiday cycling w/ Bade & Co. 2/2,,,,
908,Big brown,Brewdog AldIPA,,UK,IPA,5.4,11/09/2022,"Narghilea în curte cu Radu, Vasi, Dragoș și Costin",,,,
1004,Big brown,Brewdog #16,,UK,smoked porter,5.8,13/12/2022,Lamb leg,,,,
1060,Big brown,Brewdog Kiez Keule,,UK,lager,5.8,,The Menu cu românii 1/6,,,,
1062,Big brown,Brewdog Elvis Juice,,UK,GIIPA,5.1,04/02/2023,The Menu cu românii 3/6,,,,
530,Big brown,Adnams Lighthouse,,UK,golden beer,3.4,23/08/2020,After a day cycling in Putney Commons,,,,
465,Big brown,Adnams Ghost Ship,,UK,citrus pale ale,4.5,,,,,,
,Big brown,Adnams Broadside,,UK,,6.3,08/06/2015,Got an internship,,,,
,Big brown,Jennings,1828,UK,,,,,,,,
379,Big brown,Winter ruby ale,,UK,ruby ale,6.5,26/09/2019,Back to London,,,,
387,Big brown,tripel Hop,,UK,ale,5.5,07/10/2019,First day as TA,,,,
388,Big brown,IPA,,UK,IPA,4.5,10/10/2019,Julia's farewell Moroccan dinner 1/2,,,,
391,Big brown,Golden Ale,,UK,golden ale,4,13/10/2019,Stir fry Sunday,,,,
384,Big brown,Pure Ubu,,UK,amber ale,4.5,03/10/2019,Curry night,,,,
